"Monster","CR","Monster_STR","STR_Mod","Monster_DEX","DEX_Mod","Monster_CON","CON_Mod","Monster_INT","INT_Mod","Monster_WIS","WIS_Mod","Monster_CHA","CHA_Mod","Stats.1","Stats.2","Stats_3","Stats_4","Stats_5","Stats_6","Stats_7"
"Carrion Crawler",2,14,2,13,1,16,3,1,-5,12,1,5,-3,"Skills Perception +3","Senses darkvision 60 ft.",NA,NA,NA,NA,NA
"Cat",0,3,-4,15,2,10,0,3,-4,12,1,7,-2,"Skills Perception +3, Stealth +4",NA,NA,NA,NA,NA,NA
"Catoblepas",5,19,4,12,1,21,5,3,-4,14,2,8,-1,"Senses darkvision 60 ft.",NA,NA,NA,NA,NA,NA
"Cave Bear",2,20,5,10,0,16,3,2,-4,13,1,7,-2,"Skills Perception +3","Senses darkvision 60 ft.",NA,NA,NA,NA,NA
"Cave Fisher",3,16,3,13,1,14,2,3,-4,10,0,3,-4,"Skills Perception +2, Stealth +5","Senses blindsight 60 ft.",NA,NA,NA,NA,NA
"Centaur",2,18,4,14,2,14,2,9,-1,13,1,11,0,"Skills Athletics +6, Perception +3, Survival +3","Languages Elvish, Sylvan",NA,NA,NA,NA,NA
"Centaur Mummy",6,20,5,12,1,16,3,5,-3,14,2,12,1,"Saving Throws Wis +5","Damage Vulnerabilities fire","Damage Resistances bludgeoning, piercing, and slashing from nonmagical attacks","Damage Immunities necrotic, poison","Condition Immunities charmed, exhaustion, frightened, paralyzed, poisoned","Senses darkvision 60 ft.","Languages Common, Sylvan"
"Chain Devil",11,18,4,15,2,18,4,11,0,12,1,14,2,"Saving Throws Con +7, Wis +4, Cha +5","Damage Resistances cold, bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","Damage Immunities fire, poison","Condition Immunities poisoned","Senses darkvision 120 ft.","Languages Infernal, telepathy 120 ft.",NA
"Chamberlain of Zuggtmoy",2,17,3,7,-2,14,2,11,0,8,-1,12,1,"Damage Resistances bludgeoning, piercing","Senses darkvision 60 ft.","Languages Abywssal, Undercommon",NA,NA,NA,NA
"Champion",9,20,5,15,2,14,2,10,0,14,2,12,1,"Saving Throws Str +9, Con +6","Skills Athletics +9, Intimidation +5, Perception +6","Languages any one language (usually Common)",NA,NA,NA,NA
"Chasme",6,15,2,15,2,12,1,11,0,14,2,10,0,"Saving Throws Dex +5, Wis +5","Skills Perception +5","Damage Resistances cold, fire, lightning","Damage Immunities poison","Condition Immunities poisoned","Senses blindsight 10 ft., darkvision 120 ft.","Languages Abyssal, telepathy 120 ft."
"Chimera",6,19,4,11,0,19,4,3,-4,14,2,10,0,"Skills Perception +8","Senses darkvision 60 ft.","Languages understands Draconic but can't speak",NA,NA,NA,NA
"Chitine",0.5,10,0,14,2,12,1,10,0,10,0,7,-2,"Skills Athletics +4, Stealth +4","Senses darkvision 60 ft.","Languages Undercommon",NA,NA,NA,NA
"Choldrith",3,12,1,16,3,12,1,11,0,14,2,10,0,"Skills Athletics +5, Religion +2, Stealth +5","Senses darkvision 60 ft.","Languages Undercommon",NA,NA,NA,NA
"Chuul",4,19,4,10,0,16,3,5,-3,11,0,5,-3,"Skills Perception +4","Damage Immunities poison","Condition Immunities poisoned","Senses darkvision 60 ft.","Languages understands Deep Speech but can't speak",NA,NA
"Chuul Spore Servant",4,19,4,10,0,16,3,2,-4,6,-2,1,-5,"Damage Immunities poison","Condition Immunities blinded, charmed, frightened, paralyzed, poisoned","Senses blindsight 30 ft. (blind beyond this radius)","Languages -",NA,NA,NA
"Clay Golem",9,20,5,9,-1,18,4,3,-4,8,-1,1,-5,"Damage Immunities acid, poison, psychic, bludgeoning, piercing, and slashing from nonmagical weapons that aren't adamantine","Condition Immunities charmed, exhaustion, frightened, paralyzed, petrified, poisoned","Senses darkvision 60 ft.","Languages understands the languages of its creator but can't speak",NA,NA,NA
"Cloaker",8,17,3,15,2,12,1,13,1,12,1,14,2,"Skills Stealth +5","Senses darkvision 60 ft.","Languages Deep Speech, Undercommon",NA,NA,NA,NA
"Cloud Giant",9,27,8,10,0,22,6,12,1,16,3,16,3,"Saving Throws Con +10, Wis +7, Cha +7","Skills Insight +7, Perception +7","Languages Common, Giant",NA,NA,NA,NA
"Cloud Giant Smiling One",11,26,8,12,1,22,6,15,2,16,3,17,3,"Saving Throws Con +10, Int +6, Wis +7","Skills Deception +11, Insight +7, Perception +7, Sleight of Hand +9","Languages Common, Giant",NA,NA,NA,NA
"Cockatrice",0.5,6,-2,12,1,12,1,2,-4,13,1,5,-3,"Senses darkvision 60 ft.",NA,NA,NA,NA,NA,NA
"Commoner",0,10,0,10,0,10,0,10,0,10,0,10,0,"Languages any one language (usually Common)",NA,NA,NA,NA,NA,NA
"Conjurer",6,9,-1,14,2,11,0,17,3,12,1,11,0,"Saving Throws Int +6, Wis +4","Skills Arcana +6, History +6","Languages any four languages",NA,NA,NA,NA
"Constrictor Snake",0.25,15,2,14,2,12,1,1,-5,10,0,3,-4,"Senses blindsight 10 ft.",NA,NA,NA,NA,NA,NA
"Copper Dragon Wyrmling",1,15,2,12,1,13,1,14,2,11,0,13,1,"Saving Throws Dex +3, Con +3, Wis +2, Cha +3","Skills Perception +4, Stealth +3","Damage Immunities acid","Senses blindsight 10 ft., darkvision 60 ft.","Languages Draconic",NA,NA
"Couatl",4,16,3,20,5,17,3,18,4,20,5,18,4,"Saving Throws Con +5, Wis +7, Cha +6","Damage Resistances radiant","Damage Immunities psychic; bludgeoning, piercing, and slashing from nonmagical weapons","Senses truesight 120 ft.","Languages all, telepathy 120 ft.",NA,NA
"Cow",0.25,18,4,10,0,14,2,2,-4,10,0,4,-3,NA,NA,NA,NA,NA,NA,NA
"Crab",0,2,-4,11,0,10,0,1,-5,8,-1,2,-4,"Skills Stealth +2","Senses blindsight 30 ft.",NA,NA,NA,NA,NA
"Crag Cat",1,16,3,17,3,16,3,4,-3,14,2,8,-1,"Skills Stealth +7","Senses darkvision 60 ft.","Languages --",NA,NA,NA,NA
"Cranium Rat",0,2,-4,14,2,10,0,4,-3,11,0,8,-1,"Senses darkvision 30 ft.","Languages telepathy 30 ft.",NA,NA,NA,NA,NA
"Crawling Claw",0,13,1,14,2,11,0,5,-3,10,0,4,-3,"Damage Immunities poison","Condition Immunities poisoned","Senses blindsight 30 ft. (blind beyond this radius)","Languages understands Common but can't speak",NA,NA,NA
"Crocodile",0.5,15,2,10,0,13,1,2,-4,10,0,5,-3,"Skills Stealth +2",NA,NA,NA,NA,NA,NA
"Crushing Wave Priest",2,15,2,11,0,14,2,10,0,11,0,16,3,"Skills Deception +5, Religion +2, Stealth +2","Languages Aquan, Common",NA,NA,NA,NA,NA
"Crushing Wave Reaver",0.5,15,2,14,2,13,1,10,0,11,0,8,-1,"Skills Athletics +4, Stealth +4","Languages Common",NA,NA,NA,NA,NA
"Cult Fanatic",2,11,0,14,2,12,1,10,0,13,1,14,2,"Skills Deception +4, Persuasion +4, Religion +2","Languages any one language (usually Common)",NA,NA,NA,NA,NA
"Cultist",0.125,11,0,12,1,10,0,10,0,11,0,10,0,"Skills Deception +2, Religion +2","Languages any one language (usually Common)",NA,NA,NA,NA,NA
"Cyclops",6,22,6,11,0,20,5,8,-1,6,-2,10,0,"Languages Giant",NA,NA,NA,NA,NA,NA
"Dao",11,23,6,12,1,24,7,12,1,13,1,14,2,"Saving Throws Int +5, Wis +5, Cha +6","Condition Immunities petrified","Senses darkvision 120 ft.","Languages Terran",NA,NA,NA
"Darathra Shendrel",0,16,3,11,0,14,2,11,0,11,0,15,2,"Skills History +2, Intimidation +4, Investigation +2, Perception +2, Presuasion +4","Languages Common",NA,NA,NA,NA,NA
"Dark Tide Knight",3,17,3,16,3,14,2,10,0,11,0,11,0,"Skills Athletics +7, Stealth +7","Languages Common",NA,NA,"Reactions",NA,NA
"Darkling",0.5,9,-1,16,3,12,1,10,0,12,1,10,0,"Skills Acrobatics +5, Deception +2, Perception +5, Stealth +7","Senses blindsight 30 ft., darkvision 120 ft.","Languages Elvish, Sylvan",NA,NA,NA,NA
"Darkling Elder",2,13,1,17,3,12,1,10,0,14,2,13,1,"Skills Acrobatics +5, Deception +3, Perception +6, Stealth +7","Senses blindsight 30 ft., darkvision 120 ft.","Languages Elvish, Sylvan",NA,NA,NA,NA
"Darkmantle",0.5,16,3,12,1,13,1,2,-4,10,0,5,-3,"Skills Stealth +3","Senses blindsight 60 ft.",NA,NA,NA,NA,NA
"Darz Helgar",0,15,2,15,2,12,1,10,0,11,0,11,0,"Skills Intimidation +2, Sleight of Hand +4, Stealth +4","Languages Common",NA,NA,NA,NA,NA
"Death Dog",1,15,2,14,2,14,2,3,-4,13,1,6,-2,"Skills Perception +5, Stealth +4","Senses darkvision 120 ft.",NA,NA,NA,NA,NA
"Death Kiss",10,18,4,14,2,18,4,10,0,12,1,10,0,"Saving Throws Con +8, Wis +5","Skills Perception +5","Damage Immunities lightning","Condition Immunities prone","Senses darkvision 120 ft.","Languages Deep Speech, Undercommon",NA
"Death Knight",17,20,5,11,0,20,5,12,1,16,3,18,4,"Saving Throws Dex +6, Wis +9, Cha +10","Damage Immunities necrotic, poison","Condition Immunities exhaustion, frightened, poisoned","Senses darkvision 120 ft.","Languages Abyssal, Common",NA,NA
"Death Slaad",10,20,5,15,2,19,4,15,2,10,0,16,3,"Skills Arcana +6, Perception +8","Damage Resistances acid, cold, fire, lightning, thunder","Senses blindsight 60 ft., darkvision 60 ft.","Languages Slaad, telepathy 60 ft.",NA,NA,NA
"Death Tyrant",14,10,0,14,2,14,2,19,4,15,2,19,4,"Saving Throws Str +5, Con +7, Int +9, Wis +7, Cha +9","Skills Perception +12","Damage Immunities poison","Condition Immunities charmed, exhaustion, paralyzed, petrified, poisoned, prone","Senses darkvision 120 ft.","Languages Deep Speech, Undercommon",NA
"Deathlock Wight",3,11,0,14,2,16,3,12,1,14,2,16,3,"Saving Throws Wis +4","Skills Arcana +3, Perception +4","Damage Resistances necrotic; bludgeoning, piercing, and slashing from nonmagical attacks","Damage Immunities poison","Condition Immunities exhaustion, poisoned","Senses darkvision 60 ft.","Languages the languages it knew in life"
"Deep Gnome (Svirfneblin)",0.5,15,2,14,2,14,2,12,1,10,0,9,-1,"Skills Investigation +3, Perception +2, Stealth +4","Senses darkvision 120 ft.","Languages Gnomish, Terran, Undercommon",NA,NA,NA,NA
"Deep Rothe",0.25,18,4,10,0,14,2,2,-4,10,0,4,-3,"Senses darkvision 60 ft.",NA,NA,NA,NA,NA,NA
"Deep Scion",3,18,4,13,1,16,3,10,0,12,1,14,2,"Saving Throws Wis +3, Cha +4","Skills Deception +6, Insight +3, Sleight of Hand +3, Stealth +3","Senses darkvision 120 ft.","Languages Aquan, Common, thieves' cant",NA,NA,NA
"Deer",0,11,0,16,3,11,0,2,-4,14,2,5,-3,NA,NA,NA,NA,NA,NA,NA
"Deinonychus",1,15,2,15,2,14,2,4,-3,12,1,6,-2,"Skills Perception +3",NA,NA,NA,NA,NA,NA
"Demilich",18,1,-5,20,5,10,0,20,5,17,3,20,5,"Saving Throws Con +6, Int +11, Wis +9, Cha +11","Damage Resistances bludgeoning, piercing, and slashing from magic weapons","Damage Immunities necrotic, poison, psychic, bludgeoning, piercing, and slashing from nonmagical weapons","Condition Immunities charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned, prone, stunned","Senses truesight 120 ft.",NA,NA
"Demogorgon",26,29,9,14,2,26,8,20,5,17,3,25,7,"Saving Throws Dex +10, Con +16, Wis +11, Cha +15","Skills Insight +11, Perception +19","Damage Resistances cold, fire, lightning","Damage Immunities poison; bludgeoning, piercing, and slashing that is nonmagical","Condition Immunities charmed, exhaustion, frightened, poisoned","Senses truesight 120 ft.","Languages all, telepathy 120 ft."
"Derro",0.25,9,-1,14,2,12,1,11,0,5,-3,9,-1,"Skills Stealth +4","Senses darkvision 120 ft.","Languages Dwarvish, Undercommon",NA,NA,NA,NA
"Derro Savant",3,9,-1,14,2,12,1,11,0,5,-3,14,2,"Skills Stealth +4","Senses darkvision 120 ft.","Languages Dwarvish, Undercommon",NA,NA,NA,NA
"Deva",10,18,4,18,4,18,4,17,3,20,5,20,5,"Saving Throws Wis +9, Cha +9","Skills Insight +9, Perception +9","Damage Resistances radiant, bludgeoning, piercing, and slashing from nonmagical weapons","Condition Immunities charmed, exhaustion, frightened","Senses darkvision 120 ft.","Languages all, telepathy 120 ft.",NA
"Devourer",13,20,5,12,1,20,5,13,1,10,0,16,3,"Damage Resistances cold, fire, lightning","Damage Immunities poison","Condition Immunities poisoned","Senses darkvision 120 ft.","Languages Abyssal, telepathy 120 ft.",NA,NA
"Dimetrodon",0.25,14,2,10,0,15,2,2,-4,10,0,5,-3,"Skills Perception +2",NA,NA,NA,NA,NA,NA
"Dire Wolf",1,17,3,15,2,15,2,3,-4,12,1,7,-2,"Skills Perception +3, Stealth +4",NA,NA,NA,NA,NA,NA
"Displacer Beast",3,18,4,15,2,16,3,6,-2,12,1,8,-1,"Senses darkvision 60 ft.",NA,NA,NA,NA,NA,NA
"Diviner",8,9,-1,14,2,11,0,18,4,12,1,11,0,"Saving Throws Int +7, Wis +4","Skills Arcana +7, History +7","Languages any four languages",NA,NA,NA,NA
"Djinni",11,21,5,15,2,22,6,15,2,16,3,20,5,"Saving Throws Dex +6, Wis +7, Cha +9","Damage Immunities lightning, thunder","Senses darkvision 120 ft.","Languages Auran",NA,NA,NA
"Dolphin",0.125,14,2,13,1,13,1,6,-2,12,1,7,-2,"Skills Perception +3","Senses blindsight 60 ft.",NA,NA,NA,NA,NA
"Doppelganger",3,11,0,18,4,14,2,11,0,12,1,14,2,"Skills Deception +6, Insight +3","Damage Immunities charmed","Senses darkvision 60 ft.","Languages Common",NA,NA,NA
"Draegloth",7,20,5,15,2,18,4,13,1,11,0,11,0,"Skills Perception +3, Stealth +5","Damage Resistances cold, fire, lightning","Damage Immunities poison","Condition Immunities poisoned","Senses darkvision 120 ft.","Languages Abyssal, Elvish, Undercommon",NA
"Draft Horse",0.25,18,4,10,0,12,1,2,-4,11,0,7,-2,NA,NA,NA,NA,NA,NA,NA
"Dragon Turtle",17,25,7,10,0,20,5,10,0,12,1,12,1,"Saving Throws Dex +6, Con +11, Wis +7","Damage Resistances fire","Senses darkvision 120 ft.","Languages Aquan, Draconic",NA,NA,NA
"Dragonclaw",1,9,-1,16,3,13,1,11,0,10,0,12,1,"Saving Throws Wis +2","Skills Deception +3, Stealth +5","Languages Common, Draconic",NA,NA,NA,NA
"Dragonfang",5,11,0,16,3,14,2,12,1,12,1,14,2,"Saving Throws Wis +3","Skills Deception +4, Stealth +5","Damage Resistances one of the following: acid, cold, fire, lightning or poison","Languages Common, Draconic, Infernal",NA,NA,NA
"Dragonsoul",7,11,0,18,4,14,2,13,1,12,1,16,3,"Saving Throws Wis +4","Skills Deception +6, Stealth +7","Damage Resistances one of the following: acid, cold, fire, lightning or poison","Languages Common, Draconic, Infernal",NA,NA,NA
"Dragonwing",2,11,0,16,3,13,1,11,0,11,0,13,1,"Saving Throws Wis +2","Skills Deception +3, Stealth +5","Damage Resistances one of the following: acid, cold, fire, lightning, or poison","Languages Common, Draconic",NA,NA,NA
"Dralmorrer Borngray",3,18,4,14,2,14,2,16,3,10,0,8,-1,"Saving Throws Str +6, Con +4","Skills Arcana +5, Deception +1, Insight +2, Perception +2, Religion +5","Senses darkvision 60 ft.","Languages Common, Bullywug, Draconic, Elvish, Goblin, Sylvan",NA,NA,NA
"Drannin Splithelm",7,19,4,10,0,18,4,11,0,8,-1,12,1,"Skills Athletics +7, Intimidation +4","Damage Resistances cold, poison","Senses darkvision 60 ft.","Languages Common, Dwarvish",NA,NA,NA
"Dread Warrior",1,15,2,11,0,16,3,10,0,12,1,10,0,"Saving Throws Wis +3","Skills Athletics +4, Perception +3","Damage Immunities poison","Condition Immunities exhaustion, poisoned","Senses darkvision 60 ft.","Languages Common",NA
"Dretch",0.25,11,0,11,0,12,1,5,-3,8,-1,3,-4,"Damage Resistances cold, fire, lightning","Damage Immunities poison","Condition Immunities poisoned","Senses darkvision 60 ft.","Languages Abyssal, telepathy 60 ft. (works only with creatures that understand Abyssal)",NA,NA
"Drider",6,16,3,16,3,18,4,13,1,14,2,12,1,"Skills Perception +5, Stealth +9","Senses darkvision 120 ft.","Languages Elvish, Undercommon",NA,NA,NA,NA
"Drider Spellcaster",6,16,3,16,3,18,4,13,1,16,3,12,1,"Skills Perception +5, Stealth +9","Senses darkvision 120 ft.","Languages Elvish, Undercommon",NA,NA,NA,NA
"Droki",2,11,0,16,3,13,1,10,0,5,-3,16,3,"Skills Stealth +5","Senses darkvision 120 ft.","Languages Dwarvish, Undercommon",NA,NA,"Reactions",NA
"Drow",0.25,10,0,14,2,10,0,11,0,11,0,12,1,"Skills Perception +2, Stealth +4","Senses darkvision 120 ft.","Languages Elvish, Undercommon",NA,NA,NA,NA
"Drow Elite Warrior",5,13,1,18,4,14,2,11,0,13,1,12,1,"Saving Throws Dex +7, Con +5, Wis +4","Skills Perception +4, Stealth +10","Senses darkvision 120 ft.","Languages Elvish, Undercommon",NA,NA,"Reactions"
"Drow Mage",7,9,-1,14,2,10,0,17,3,13,1,12,1,"Skills Arcana +6, Deception +5, Perception +4, Stealth +5","Senses darkvision 120 ft.","Languages Elvish, Undercommon",NA,NA,NA,NA
"Drow Priestess of Lolth",8,10,0,14,2,12,1,13,1,17,3,18,4,"Saving Throws Con +4, Wis +6, Cha +7","Skills Insight +6, Perception +6, Religion +4, Stealth +5","Senses darkvision 120 ft.","Languages Elvish, Undercommon",NA,NA,NA
"Drow Spore Servant",0.125,10,0,14,2,10,0,2,-4,6,-2,1,-5,"Condition Immunities blinded, charmed, frightened, paralyzed","Senses blindsight 30 ft. (blind beyond this radius)","Languages -",NA,NA,NA,NA
"Druid",2,10,0,12,1,13,1,12,1,15,2,11,0,"Skills Medicine +4, Nature +3, Perception +4","Languages Druidic plus any two languages",NA,NA,NA,NA,NA
"Dryad",1,10,0,12,1,11,0,14,2,15,2,18,4,"Skills Perception +4, Stealth +5","Senses darkvision 60 ft.","Languages Elvish, Sylvan",NA,NA,NA,NA
"Duergar",1,14,2,11,0,14,2,11,0,10,0,9,-1,"Damage Resistances poison","Senses darkvision 120 ft.","Languages Dwarvish, Undercommon",NA,NA,NA,NA
"Duergar Darkhaft",2,14,2,11,0,14,2,11,0,10,0,9,-1,"Damage Resistances poison","Senses darkvision 120 ft.","Languages Dwarvish, Undercommon",NA,NA,NA,NA
"Duergar Kavalrachni",2,14,2,11,0,14,2,11,0,10,0,9,-1,"Damage Resistances poison","Senses darkvision 120 ft.","Languages Dwarvish, Undercommon",NA,NA,NA,NA
"Duergar Keeper of the Flame",2,14,2,11,0,14,2,11,0,10,0,9,-1,"Damage Resistances poison","Senses darkvision 120 ft.","Languages Dwarvish, Undercommon",NA,NA,NA,NA
"Duergar Soulblade",1,11,0,16,3,10,0,11,0,10,0,12,1,"Damage Resistances poison","Senses darkvision 120 ft.","Languages Dwarvish, Undercommon",NA,NA,NA,NA
"Duergar Spore Servant",0.5,14,2,11,0,14,2,2,-4,6,-2,1,-5,"Damage Resistances poison","Condition Immunities blinded, charmed, frightened, paralyzed","Senses blindsight 30 ft. (blind beyond this radius)","Languages -",NA,NA,NA
"Duergar Spy",2,10,0,16,3,12,1,12,1,10,0,13,1,"Skills Deception +5, Insight +2, Investigation +5, Perception +4, Persuasion +3, Sleight of Hand +5, Stealth +7","Damage Resistances poison","Senses darkvision 120 ft.","Languages Dwarvish, Undercommon",NA,NA,NA
"Duergar Stone Guard",2,18,4,11,0,14,2,11,0,10,0,9,-1,"Damage Resistances poison","Senses darkvision 120 ft.","Languages Dwarvish, Undercommon",NA,NA,NA,NA
"Duergar Xarron",2,16,3,11,0,14,2,11,0,10,0,9,-1,"Damage Resistances poison","Senses darkvision 120 ft.","Languages Dwarvish, Undercommon",NA,NA,NA,NA
"Duodrone",0.25,11,0,13,1,12,1,6,-2,10,0,7,-2,"Senses truesight 120 ft.","Languages Modron",NA,NA,NA,NA,NA
"Dust Mephit",0.5,5,-3,14,2,10,0,9,-1,11,0,10,0,"Skills Perception +2, Stealth +4","Damage Vulnerabilities fire","Damage Immunities poison","Condition Immunities poisoned","Senses darkvision 60 ft.","Languages Auran, Terran",NA
"Duvessa Shane",0,10,0,11,0,10,0,16,3,14,2,16,3,"Skills Deception +5, Insight +3, Persuasion +3","Languages Common, Dwarvish, Giant, Orc",NA,NA,"Reactions",NA,NA
"Eagle",0,6,-2,15,2,10,0,2,-4,14,2,7,-2,"Skills Perception +4",NA,NA,NA,NA,NA,NA
"Earth Elemental",5,20,5,8,-1,20,5,5,-3,10,0,5,-3,"Damage Vulnerabilities thunder","Damage Resistances bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities poison","Condition Immunities exhaustion, paralyzed, petrified, poisoned, unconscious","Senses darkvision 60 ft., tremorsense 60 ft.","Languages Terran",NA
"Earth Elemental Myrmidon",7,18,4,10,0,17,3,8,-1,10,0,10,0,"Damage Resistances bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities poison","Condition Immunities paralyzed, petrified, poisoned, prone","Senses darkvision 60 ft.","Languages Terran, one language of its creator's choice",NA,NA
"Efreeti",11,22,6,12,1,24,7,16,3,15,2,16,3,"Saving Throws Int +7, Wis +6, Cha +7","Damage Immunities fire","Senses darkvision 120 ft.","Languages Ignan",NA,NA,NA
"Elder Brain",14,15,2,10,0,20,5,21,5,19,4,24,7,"Saving Throws Int +10, Wis +9, Cha +12","Skills Arcana +10, Deception +12, Insight +14, Intimidation +12, Persuasion +12","Senses blindsight 120 ft.","Languages understands Common, Deep Speech, and Undercommon but can't speak, telepathy 5 miles",NA,NA,NA
"Elephant",4,22,6,9,-1,17,3,3,-4,11,0,6,-2,NA,NA,NA,NA,NA,NA,NA
"Elizar Dryflagon",5,13,1,15,2,14,2,11,0,18,4,10,0,"Skills Arcana +3, Deception +3","Languages Common, Druidic",NA,NA,NA,NA,NA
"Elk",0.25,16,3,10,0,12,1,2,-4,10,0,6,-2,NA,NA,NA,NA,NA,NA,NA
"Empyrean",23,30,10,21,5,30,10,21,5,22,6,27,8,"Saving Throws Str +17, Int +12, Wis +13, Cha +15","Skills Insight +13, Persuasion +15","Damage Immunities bludgeoning, piercing, and slashing from nonmagical weapons","Senses truesight 120 ft.","Languages all",NA,NA
"Enchanter",5,9,-1,14,2,11,0,17,3,12,1,11,0,"Saving Throws Int +6, Wis +4","Skills Arcana +6, History +6","Languages any four languages",NA,NA,"Reactions","The attacker must make a DC 14 Wisdom saving throw. On a failed save, the attacker targets the creature closest to it, other than the enchanter or itself. If multiple creatures are closest, the attacker chooses which one to target."
"Erinyes",12,18,4,16,3,18,4,14,2,14,2,18,4,"Saving Throws Dex +7, Con +8, Wis +6, Cha +8","Damage Resistances cold, bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","Damage Immunities fire, poison","Condition Immunities poisoned","Senses truesight 120 ft.","Languages Infernal, telepathy 120 ft.",NA
"Eternal Flame Guardian",2,15,2,13,1,14,2,8,-1,11,0,13,1,"Skills Intimidation +3, Perception +2","Damage Resistances fire","Languages Common",NA,NA,NA,NA
"Eternal Flame Priest",3,12,1,15,2,14,2,10,0,11,0,16,3,"Skills Deception +5, Intimidation +5, Religion +2","Damage Resistances fire","Languages Common, Ignan",NA,NA,NA,NA
"Ettercap",2,14,2,15,2,13,1,7,-2,12,1,8,-1,"Skills Perception +3, Stealth +4, Survival +3","Senses darkvision 60 ft.",NA,NA,NA,NA,NA
"Ettin",4,21,5,8,-1,17,3,6,-2,10,0,8,-1,"Skills Perception +4","Senses darkvision 60 ft.","Languages Giant, Orc",NA,NA,NA,NA
"Evil Mage",1,9,-1,14,2,11,0,17,3,12,1,11,0,"Saving Throws Int +5, Wis +3","Skills Arcana +5, History +5","Languages Common, Draconic, Dwarvish, Elvish",NA,NA,NA,NA
"Evoker",9,9,-1,14,2,12,1,17,3,12,1,11,0,"Saving Throws Int +7, Wis +5","Skills Arcana +7, History +7","Languages any four languages",NA,NA,NA,NA
"Ezmerelda d'Avenir",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faerie Dragon (Blue)",2,3,-4,20,5,13,1,14,2,12,1,16,3,"Skills Arcana +4, Perception +3, Stealth +7","Senses darkvision 60 ft.","Languages Draconic, Sylvan",NA,NA,NA,NA
"Faerie Dragon (Green)",2,3,-4,20,5,13,1,14,2,12,1,16,3,"Skills Arcana +4, Perception +3, Stealth +7","Senses darkvision 60 ft.","Languages Draconic, Sylvan",NA,NA,NA,NA
"Faerie Dragon (Indigo)",2,3,-4,20,5,13,1,14,2,12,1,16,3,"Skills Arcana +4, Perception +3, Stealth +7","Senses darkvision 60 ft.","Languages Draconic, Sylvan",NA,NA,NA,NA
"Faerie Dragon (Orange)",1,3,-4,20,5,13,1,14,2,12,1,16,3,"Skills Arcana +4, Perception +3, Stealth +7","Senses darkvision 60 ft.","Languages Draconic, Sylvan",NA,NA,NA,NA
"Faerie Dragon (Red)",1,3,-4,20,5,13,1,14,2,12,1,16,3,"Skills Arcana +4, Perception +3, Stealth +7","Senses darkvision 60 ft.","Languages Draconic, Sylvan",NA,NA,NA,NA
"Faerie Dragon (Violet)",2,3,-4,20,5,13,1,14,2,12,1,16,3,"Skills Arcana +4, Perception +3, Stealth +7","Senses darkvision 60 ft.","Languages Draconic, Sylvan",NA,NA,NA,NA
"Faerie Dragon (Yellow)",1,3,-4,20,5,13,1,14,2,12,1,16,3,"Skills Arcana +4, Perception +3, Stealth +7","Senses darkvision 60 ft.","Languages Draconic, Sylvan",NA,NA,NA,NA
"Fathomer",2,14,2,11,0,14,2,11,0,11,0,15,2,"Skills Arcana +2, Perception +4, Stealth +4","Languages Aquan, Common",NA,NA,NA,NA,NA
"Feathergale Knight",1,14,2,14,2,12,1,11,0,10,0,14,2,"Skills Animal Handling +2, History +2","Languages Auran, Common",NA,NA,NA,NA,NA
"Female Steeder",1,15,2,16,3,14,2,2,-4,10,0,3,-4,"Skills Stealth +7","Senses darkvision 120 ft.","Languages -",NA,NA,NA,NA
"Fire Elemental",5,10,0,17,3,16,3,6,-2,10,0,7,-2,"Damage Resistances bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities fire, poison","Condition Immunities exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious","Senses darkvision 60 ft.","Languages Ignan",NA,NA
"Fire Elemental Myrmidon",7,13,1,18,4,15,2,9,-1,10,0,10,0,"Damage Resistances bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities fire, poison","Condition Immunities paralyzed, petrified, poisoned, prone","Senses darkvision 60 ft.","Languages Ignan, one language of its creator's choice",NA,NA
"Fire Giant",9,25,7,9,-1,23,6,10,0,14,2,13,1,"Saving Throws Dex +3, Con +10, Cha +5","Skills Athletics +11, Perception +6","Damage Immunities fire","Languages Giant",NA,NA,NA
"Fire Giant Dreadnought",14,27,8,9,-1,23,6,8,-1,10,0,11,0,"Saving Throws Dex +4, Con +11, Cha +5","Skills Athletics +13, Perception +5","Damage Immunities fire","Languages Giant",NA,NA,NA
"Fire Snake",1,12,1,14,2,11,0,7,-2,10,0,8,-1,"Damage Vulnerabilities cold","Damage Resistances bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities fire","Senses darkvision 60 ft.","Languages understands Ignan but can't speak",NA,NA
"Firenewt Warlock of Imix",1,13,1,11,0,12,1,9,-1,11,0,14,2,"Damage Immunities fire","Senses darkvision 120 ft. (penetrates magical darkness)","Languages Draconic, Ignan",NA,NA,NA,NA
